Elapsed Time (s),Hot(C),Cold(C),Tset(C),Voltage(V)
80.44027925,30.81,12.13,10,4.18
80.98214483,30.81,12.13,10,4.16
81.99145699,30.81,12.13,10,4.18
82.42578983,30.81,12.06,10,4.19
82.97009754,30.81,12.06,10,4.27
83.40671349,30.81,12.06,10,4.21
83.95319629,30.81,12.06,10,4.32
84.4980669,30.81,12.06,10,4.25
84.93143368,30.81,12.06,10,4.27
85.4777081,30.81,12.06,10,3.9
86.02094793,30.81,12.06,10,4.25
86.45816231,30.81,12.06,10,4.29
87.01070404,30.81,12.06,10,4.34
87.45319104,30.81,12,10,4.27
88.00207877,30.81,12,10,4.31
88.44235396,30.81,11.94,10,4.26
88.98968005,30.81,11.94,10,4.02
89.43160105,30.81,11.88,10,4.18
89.97430682,30.81,11.88,10,4.26
90.51900291,30.81,11.88,10,4.3
90.9622395,30.81,11.88,10,4.33
91.51281714,30.81,11.81,10,4.22
91.95248246,30.81,11.81,10,4.3
92.49565816,30.81,11.81,10,4.25
93.03756618,30.81,11.81,10,4.35
93.46916008,30.81,11.81,10,4.27
94.01382995,30.81,11.81,10,4.27
94.44815278,30.81,11.7,10,4.25
95.02460527,30.81,11.75,10,4.27
96.02959991,30.81,11.75,10,4.27
96.46503973,30.81,11.69,10,4.22
97.01140165,30.81,11.69,10,4.27
97.55363512,30.81,11.69,10,4.29
97.98624086,30.81,11.63,10,4.27
98.53067899,30.81,11.63,10,4.26
98.9649024,30.81,11.63,10,4.26
99.50727272,30.81,11.63,10,4.26
100.0487607,30.81,11.63,10,4.03
100.4839485,30.81,11.63,10,4.33
101.0261333,30.81,11.63,10,0.26
101.4631443,30.81,11.63,10,4.31
102.0087059,30.81,11.63,10,4.27
102.5531974,30.81,11.56,10,4.32
102.9896927,30.81,11.56,10,4.3
103.5334544,30.81,11.56,10,4.26
103.9678109,30.81,11.5,10,4.16
104.5115323,30.81,11.5,10,4.31
105.0564394,30.81,11.5,10,4.24
105.4916759,30.81,11.5,10,4.3
106.0368578,30.81,11.44,10,4.29
