Elapsed Time (s),Hot(C),Cold(V),Voltage(A)
462.5,34.38,-7.0,12.14
463.0,34.38,-7.0,11.85
463.5,34.38,-7.0,11.76
464.0,34.38,-7.0,12.19
464.5,34.38,-7.0,12.27
465.0,34.38,-7.0,12.25
465.5,34.38,-7.0,12.25
466.0,34.38,-7.0,11.91
466.5,34.38,-7.0,12.06
467.0,34.38,-7.0,13.04
467.5,34.38,-7.0,11.92
468.0,34.38,-7.0,12.3
468.5,34.38,-7.0,11.8
469.0,34.38,-7.0,11.8
469.5,34.38,-7.0,12.01
470.0,34.38,-7.0,11.75
470.5,34.38,-7.0,12.01
471.0,34.38,-7.0,12.24
471.5,34.38,-7.0,12.25
472.0,34.38,-7.0,11.91
472.5,34.38,-7.0,12.79
473.0,34.38,-7.0,11.91
473.5,34.38,-7.0,11.86
474.0,34.38,-7.0,11.85
474.5,34.38,-7.0,11.86
475.0,34.38,-7.0,12.08
475.5,34.38,-7.0,12.07
476.0,34.38,-7.0,11.91
476.5,34.38,-7.06,11.68
477.0,34.38,-7.06,12.06
477.5,34.38,-7.06,11.89
478.0,34.38,-7.06,11.64
478.5,34.38,-7.06,12.1
479.0,34.38,-7.06,11.87
479.5,34.44,-7.06,11.88
480.0,34.44,-7.06,11.88
480.5,34.44,-7.06,11.86
481.0,34.44,-7.06,12.11
481.5,34.44,-7.06,12.29
482.0,34.44,-7.06,12.44
482.5,34.44,-7.06,12.33
483.0,34.44,-7.06,12.19
483.5,34.44,-7.06,11.8
484.0,34.44,-7.06,12.23
484.5,34.44,-7.06,12.06
485.0,34.44,-7.06,11.9
485.5,34.44,-7.06,12.38
486.0,34.44,-7.06,11.9
486.5,34.44,-7.06,11.85
487.0,34.44,-7.06,12.07
487.5,34.44,-7.06,12.01
488.0,34.44,-7.06,11.91
488.5,34.44,-7.06,12.64
489.0,34.44,-7.06,11.92
489.5,34.44,-7.06,11.84
490.0,34.44,-7.06,11.63
490.5,34.44,-7.06,12.7
491.0,34.44,-7.06,11.97
491.5,34.44,-7.06,12.12
492.0,34.44,-7.06,11.74
492.5,34.44,-7.06,11.85
493.0,34.44,-7.06,11.76
493.5,34.44,-7.06,11.83
494.0,34.44,-7.06,11.7
494.5,34.44,-7.06,11.76
495.0,34.44,-7.06,11.97
495.5,34.44,-7.06,12.0
496.0,34.44,-706.0,12.8
496.5,34.44,-706.0,12.46
497.0,34.44,-7.06,12.16
497.5,34.44,-7.06,12.02
498.0,34.44,-7.06,12.31
498.5,34.44,-7.06,12.09
499.0,34.44,-7.06,11.68
499.5,34.44,-7.06,12.24
500.0,34.44,-7.06,11.82
500.5,34.44,-7.06,12.28
501.0,34.44,-7.06,11.84
501.5,34.44,-7.0,11.75
502.0,34.44,-7.0,11.84
502.5,34.44,-7.0,12.33
503.0,34.44,-7.0,11.83
503.5,34.44,-7.06,12.02
504.0,34.44,-7.06,12.21
504.5,34.44,-7.06,12.44
505.0,34.44,-7.06,12.39
505.5,34.44,-7.06,11.7
506.0,34.44,-7.06,11.94
506.5,34.44,-7.06,11.89
507.0,34.44,-7.06,12.14
507.5,34.44,-7.06,12.06
508.0,34.44,-7.06,11.74
508.5,34.44,-7.06,11.88
509.0,34.44,-7.06,11.5
509.5,34.4,-7.06,11.94
510.0,34.44,-7.6,11.83
510.5,34.38,-7.06,11.97
511.0,34.38,-7.06,11.99
511.5,34.38,-7.06,12.12
512.0,34.38,-7.06,12.06
512.5,34.38,-7.06,12.48
513.0,34.38,-7.06,11.89
513.5,34.38,-7.06,11.7
514.0,34.38,-7.06,11.73
514.5,34.38,-7.06,11.92
515.0,34.38,-7.06,12.09
515.5,34.38,-7.06,12.08
516.0,34.38,-7.06,12.18
516.5,34.38,-7.06,12.06
517.0,34.38,-7.06,11.87
517.5,34.38,-7.06,12.27
518.0,34.38,-7.06,11.87
518.5,34.38,-7.06,11.81
519.0,34.38,-7.06,11.78
519.5,34.38,-7.06,11.86
520.0,34.38,-7.06,11.67
520.5,34.38,-7.06,12.17
521.0,34.38,-7.06,11.91
521.5,34.38,-7.06,11.87
522.0,34.38,-7.06,11.9
522.5,34.38,-7.06,11.62
523.0,34.38,-7.06,12.1
523.5,34.38,-7.06,12.14
524.0,34.38,-7.06,11.81
524.5,34.38,-7.06,12.17
525.0,34.38,-7.06,11.94
525.5,34.38,-7.06,12.19
526.0,34.38,-7.06,11.71
526.5,34.38,-7.06,11.9
527.0,34.38,-7.06,11.75
527.5,34.38,-7.06,11.89
528.0,34.3,-7.06,12.09
528.5,34.38,-7.06,11.95
529.0,34.38,-7.06,11.7
529.5,34.38,-7.06,11.98
530.0,34.38,-7.06,11.8
530.5,34.38,-7.06,11.78
531.0,34.38,-7.06,12.06
531.5,34.38,-7.06,11.79
532.0,34.38,-7.06,11.85
532.5,34.38,-7.06,11.59
533.0,34.38,-7.06,11.85
533.5,34.38,-7.06,11.95
534.0,34.38,-7.06,11.85
534.5,34.38,-7.6,11.84
535.0,34.38,-706.0,11.62
535.5,34.38,-7.06,11.8
536.0,34.38,-7.06,12.22
536.5,34.38,-7.06,11.89
537.0,34.38,-7.06,12.12
537.5,34.38,-7.06,12.18
538.0,34.38,-7.06,11.69
538.5,34.38,-7.06,11.71
539.0,34.38,-7.06,12.27
539.5,34.38,-7.06,12.17
540.0,34.38,-7.06,12.22
540.5,34.38,-7.06,12.32
541.0,34.38,-7.06,11.82
541.5,34.38,-7.06,12.15
542.0,34.38,-7.06,12.05
542.5,34.38,-7.06,11.85
543.0,34.38,-7.06,12.12
543.5,34.38,-7.06,11.98
544.0,34.38,-7.06,11.74
544.5,34.38,-7.06,12.15
545.0,34.38,-7.06,11.72
545.5,34.38,-7.06,12.12
546.0,34.38,-7.06,11.95
546.5,34.38,-7.06,12.09
547.0,34.38,-7.12,12.42
547.5,34.38,-7.12,11.91
548.0,34.38,-7.12,11.89
548.5,34.38,-7.12,11.77
549.0,34.38,-7.12,11.87
549.5,34.38,-7.12,11.88
550.0,34.38,-7.12,11.75
550.5,34.38,-7.12,12.55
551.0,34.38,-7.12,12.08
551.5,34.38,-7.12,11.9
552.0,34.38,-7.12,11.75
552.5,34.38,-7.12,11.76
553.0,34.38,-7.12,12.16
553.5,34.38,-7.12,12.01
554.0,34.38,-7.12,11.9
554.5,34.38,-7.12,11.85
555.0,34.38,-7.12,12.01
555.5,34.38,-7.12,12.35
556.0,34.38,-7.12,12.19
556.5,34.38,-7.12,11.59
557.0,34.38,-7.12,11.86
557.5,34.38,-7.12,12.29
558.0,34.38,-7.12,11.85
558.5,34.38,-7.12,11.79
559.0,34.38,-7.12,11.74
559.5,34.38,-7.12,11.78
560.0,34.38,-7.12,12.25
560.5,34.38,-7.12,12.01
561.0,34.38,-7.12,11.84
561.5,34.38,-7.12,12.28
562.0,34.38,-7.12,12.1
562.5,34.38,-7.12,12.23
563.0,34.38,-7.12,11.95
563.5,34.38,-7.12,11.87
564.0,34.38,-7.12,11.82
564.5,34.38,-7.12,11.81
565.0,34.38,-7.12,12.13
565.5,34.38,-7.12,11.75
566.0,34.38,-7.12,12.13
566.5,34.38,-7.12,11.92
567.0,34.38,-7.12,11.84
567.5,34.38,-7.12,11.99
568.0,34.38,-7.12,11.83
568.5,34.38,-7.12,12.08
569.0,34.38,-7.12,11.76
569.5,34.38,-7.12,11.85
570.0,34.38,-7.12,12.01
570.5,34.38,-7.12,11.95
571.0,34.38,-7.12,11.77
571.5,34.38,-7.12,12.06
572.0,34.38,-7.12,12.31
572.5,34.38,-7.12,11.82
573.0,34.38,-7.12,12.54
573.5,34.38,-7.12,11.81
574.0,34.38,-7.12,12.19
574.5,34.38,-7.12,11.74
575.0,34.38,-7.12,11.97
575.5,34.38,-7.12,11.88
576.0,34.38,-7.12,11.94
576.5,34.38,-7.12,11.84
577.0,34.38,-7.12,11.97
577.5,34.38,-7.12,11.88
578.0,34.38,-7.12,1190.0
578.5,34.38,-7.12,11.91
579.0,34.38,-7.12,12.01
579.5,34.38,-7.12,12.2
580.0,34.38,-7.12,12.26
580.5,34.38,-7.12,11.92
581.0,34.38,-7.12,11.85
581.5,34.38,-7.12,11.71
582.0,34.38,-7.12,11.82
582.5,34.38,-7.12,12.14
583.0,34.38,-7.12,12.17
583.5,34.38,-7.12,12.16
584.0,34.38,-7.12,1215.0
584.5,34.38,-7.12,12.15
585.0,34.38,-7.12,11.81
585.5,34.38,-7.12,11.96
586.0,34.38,-7.12,12.23
586.5,34.38,-7.12,11.69
587.0,34.38,-7.12,11.86
587.5,34.38,-7.12,11.91
588.0,34.38,-7.12,12.38
588.5,34.38,-7.12,12.03
589.0,34.38,-7.12,11.79
589.5,34.38,-7.12,12.22
590.0,34.38,-7.12,12.01
590.5,34.38,-7.12,12.06
591.0,34.38,-7.12,11.9
591.5,34.3,-7.12,11.8
592.0,34.38,-7.12,12.06
592.5,34.38,-7.12,11.73
593.0,34.38,-7.19,12.02
593.5,34.38,-7.19,11.86
594.0,34.38,-7.19,12.59
594.5,34.38,-7.19,12.22
595.0,34.38,-7.19,12.33
595.5,34.38,-7.19,12.01
596.0,34.38,-7.19,12.62
596.5,34.38,-7.19,12.69
597.0,34.38,-7.19,11.96
597.5,34.38,-7.19,12.01
598.0,34.38,-7.19,11.91
598.5,34.38,-7.19,12.26
599.0,34.38,-7.19,11.98
599.5,34.38,-7.19,12.23
600.0,34.38,-7.19,12.16
600.5,34.38,-7.19,12.14
601.0,34.38,-7.19,11.82
601.5,34.38,-7.19,12.2
602.0,34.38,-7.19,11.77
602.5,34.38,-7.1,12.17
603.0,34.38,-7.19,11.96
603.5,34.38,-7.19,12.18
604.0,34.38,-7.19,12.2
604.5,34.38,-7.19,12.23
605.0,34.38,-7.19,12.33
605.5,34.38,-7.19,12.18
606.0,34.38,-7.19,12.25
606.5,34.38,-7.19,11.74
607.0,34.38,-7.19,11.84
607.5,34.38,-7.19,12.23
608.0,34.8,-7.19,11.39
608.5,34.38,-7.19,12.12
609.0,34.38,-7.19,11.74
609.5,34.38,-7.19,11.7
610.0,34.38,-7.19,11.8
610.5,34.38,-7.19,11.83
611.0,34.38,-7.19,11.91
611.5,34.38,-7.19,12.17
612.0,34.38,-7.19,11.8
612.5,34.38,-7.19,11.68
613.0,34.38,-7.19,11.89
613.5,34.38,-7.19,11.67
614.0,34.38,-7.19,12.18
614.5,34.38,-7.19,11.9
615.0,34.38,-7.19,11.78
615.5,34.38,-7.19,11.78
616.0,34.38,-7.19,11.85
616.5,34.38,-7.19,11.99
617.0,34.38,-7.19,11.9
617.5,34.38,-7.19,12.2
618.0,34.38,-7.19,12.3
618.5,34.38,-7.19,11.86
619.0,34.38,-7.19,12.13
619.5,34.38,-7.19,11.85
620.0,34.38,-7.19,12.05
620.5,34.38,-7.19,11.63
621.0,34.38,-7.19,12.29
621.5,34.38,-7.19,11.89
622.0,34.38,-7.19,12.03
622.5,34.38,-7.19,11.81
623.0,34.38,-7.19,11.85
623.5,34.38,-7.19,12.4
624.0,34.38,-7.19,11.85
624.5,34.38,-7.19,12.23
625.0,34.38,-7.19,11.85
625.5,34.38,-7.19,11.96
626.0,34.38,-7.19,12.66
626.5,34.38,-7.19,11.89
627.0,34.38,-7.25,11.98
627.5,34.38,-7.25,12.37
628.0,34.38,-7.25,11.88
628.5,34.38,-7.25,11.91
629.0,34.38,-7.25,11.71
629.5,34.38,-7.25,12.18
630.0,34.38,-7.25,11.8
630.5,34.38,-7.25,11.83
631.0,34.38,-7.25,11.85
631.5,34.38,-7.25,11.94
632.0,34.38,-7.25,11.93
632.5,34.38,-7.25,11.61
633.0,34.38,-7.2,11.97
633.5,34.38,-7.25,11.3
634.0,34.38,-7.25,12.22
634.5,34.38,-7.25,12.22
635.0,34.38,-7.25,12.22
635.5,34.38,-7.25,12.01
636.0,34.38,-7.25,11.84
636.5,34.38,-7.25,11.76
637.0,34.38,-7.25,11.84
637.5,34.38,-7.25,11.75
638.0,34.38,-7.25,11.92
638.5,34.38,-7.25,11.8
639.0,34.38,-7.25,11.8
639.5,34.38,-7.25,12.22
640.0,34.38,-7.25,11.8
640.5,34.38,-7.25,12.1
641.0,34.38,-7.25,12.37
641.5,34.38,-7.25,12.0
642.0,34.38,-7.25,12.1
642.5,34.38,-7.25,11.54
643.0,34.38,-7.25,11.73
643.5,34.38,-7.25,11.96
644.0,34.38,-7.25,12.31
644.5,34.38,-7.25,11.92
645.0,34.38,-7.25,12.0
645.5,34.38,-7.25,11.79
646.0,34.38,-7.25,11.71
646.5,34.38,-7.25,11.85
647.0,34.38,-7.25,12.26
647.5,34.38,-7.25,11.68
648.0,34.38,-7.25,11.83
648.5,34.38,-7.25,12.01
649.0,34.38,-7.25,11.74
649.5,34.38,-7.25,11.8
650.0,34.38,-7.25,12.0
650.5,34.38,-7.5,12.31
651.0,34.38,-7.25,11.84
651.5,34.38,-7.25,11.76
652.0,34.38,-7.25,11.96
652.5,34.38,-7.25,11.92
653.0,34.38,-7.25,12.23
653.5,34.38,-7.25,12.22
654.0,34.38,-7.25,11.96
654.5,34.38,-7.25,11.84
655.0,34.38,-7.25,12.27
655.5,34.38,-7.25,11.8
656.0,34.38,-7.25,11.61
656.5,34.3,-7.25,12.01
657.0,34.38,-0.25,11.92
657.5,34.38,-7.25,11.95
658.0,34.38,-7.25,12.49
658.5,34.38,-7.25,12.08
659.0,34.38,-7.25,12.21
659.5,34.38,-7.25,11.98
660.0,34.38,-7.25,12.43
660.5,34.38,-7.25,11.85
661.0,34.31,-7.25,11.8
661.5,34.31,-7.25,11.75
662.0,34.31,-7.25,11.74
662.5,34.31,-7.25,11.99
663.0,34.31,-7.25,11.53
663.5,34.38,-7.25,11.89
664.0,34.38,-7.25,11.76
664.5,34.38,-7.25,11.79
665.0,34.38,-7.25,11.65
665.5,34.38,-7.25,12.4
666.0,34.38,-7.25,12.09
666.5,34.38,-7.25,12.17
667.0,34.38,-7.25,12.42
667.5,34.38,-7.25,12.31
668.0,34.38,-7.25,11.76
668.5,34.38,-7.25,11.91
669.0,34.38,-7.25,12.18
669.5,34.38,-7.25,12.11
670.0,34.38,-7.25,11.78
670.5,34.38,-7.25,11.86
671.0,34.38,-7.25,12.04
671.5,34.38,-7.25,12.3
672.0,34.38,-7.25,12.11
672.5,34.38,-7.25,11.69
673.0,34.38,-7.25,12.31
673.5,34.38,-7.25,11.89
674.0,34.38,-7.25,11.78
674.5,34.38,-7.25,12.0
675.0,34.38,-7.25,12.08
675.5,34.38,-7.25,11.88
676.0,34.3,-7.25,12.15
676.5,34.38,-7.25,12.38
677.0,34.38,-7.25,12.37
677.5,34.38,-7.25,11.93
678.0,34.38,-7.25,12.39
678.5,34.38,-7.25,11.85
679.0,34.38,-7.25,11.88
679.5,34.38,-7.25,11.99
680.0,34.38,-7.25,12.23
680.5,34.38,-7.25,11.7
681.0,34.38,-7.25,12.24
681.5,34.38,-7.25,12.17
682.0,34.38,7.25,12.25
682.5,34.38,-7.2,12.27
683.0,34.38,-7.25,11.94
683.5,34.38,-7.25,12.14
684.0,34.38,-7.25,12.19
684.5,34.38,-7.25,12.0
685.0,34.38,-7.25,11.95
685.5,34.38,-7.25,11.91
686.0,34.38,-7.25,11.72
686.5,34.38,-7.25,12.5
687.0,34.38,-7.25,11.97
687.5,34.38,-7.25,12.07
688.0,34.38,-7.25,11.89
688.5,34.38,-7.25,11.84
689.0,34.38,-7.25,11.78
689.5,34.38,-7.25,12.22
690.0,34.38,-7.25,11.8
690.5,34.38,-7.25,11.89
691.0,34.38,-7.25,12.11
691.5,34.38,-7.25,11.9
692.0,34.38,-7.25,11.85
692.5,34.38,-7.25,11.98
693.0,34.38,-7.25,11.96
693.5,34.38,-7.25,12.1
694.0,34.38,-7.25,11.94
694.5,34.38,-7.25,11.8
695.0,34.38,-7.25,11.96
695.5,34.38,-7.25,11.84
696.0,34.38,-7.25,12.12
696.5,34.38,-7.25,12.17
697.0,34.38,-7.25,11.9
697.5,34.38,-7.25,11.9
698.0,34.38,-7.25,12.06
698.5,34.38,-7.25,11.77
699.0,34.38,-7.25,11.81
699.5,34.38,-7.25,11.81
700.0,34.38,-7.25,11.99
700.5,34.38,-7.25,11.96
701.0,34.38,-7.25,11.9
701.5,34.38,-7.25,12.3
702.0,34.38,-7.25,11.81
702.5,34.38,-7.25,12.22
703.0,34.38,-7.25,11.75
703.5,34.38,-7.25,11.95
704.0,34.38,-7.25,12.21
704.5,34.38,-7.25,12.13
705.0,34.38,-7.25,11.84
705.5,34.38,-7.25,12.13
706.0,34.38,-7.25,11.84
706.5,34.38,-7.25,11.99
707.0,34.38,-7.25,11.74
707.5,34.38,-7.25,11.82
708.0,34.38,-7.25,12.1
708.5,34.38,-7.25,11.88
709.0,34.38,-7.25,12.12
709.5,34.38,-7.25,12.14
710.0,34.38,-7.25,11.73
710.5,34.38,-7.25,12.05
711.0,34.38,-7.31,11.81
711.5,34.38,-7.31,11.69
712.0,34.38,-7.31,11.89
712.5,34.38,-7.31,12.0
713.0,34.38,-7.31,11.86
713.5,34.38,-7.31,12.01
714.0,34.38,-7.31,12.17
714.5,34.38,-7.31,11.78
715.0,34.38,-7.31,11.85
715.5,34.38,-7.31,12.0
716.0,34.38,-7.31,12.34
716.5,34.38,-7.31,11.85
717.0,34.38,-7.31,11.85
717.5,34.38,-7.31,11.77
718.0,34.38,-7.31,12.66
718.5,34.38,-7.31,11.91
719.0,34.38,-7.31,11.87
719.5,34.38,-7.31,12.34
720.0,34.38,-7.31,12.21
720.5,34.38,-7.31,12.49
721.0,34.38,-7.31,11.85
721.5,3438.0,-7.31,12.14
722.0,34.38,-7.31,12.06
722.5,34.38,-7.31,12.15
723.0,34.38,-7.31,11.72
723.5,34.38,-7.31,12.42
724.0,34.38,-7.31,12.22
724.5,34.38,-7.31,12.11
725.0,34.38,-7.31,12.21
725.5,34.38,-7.31,11.81
726.0,34.38,-7.31,11.76
726.5,34.38,-7.31,12.38
727.0,34.38,-7.31,11.81
727.5,34.38,-7.31,11.98
728.0,34.38,-7.31,11.86
728.5,34.38,-7.31,11.78
729.0,34.38,-7.31,12.59
729.5,34.38,-7.31,11.98
730.0,34.38,-7.31,11.84
730.5,34.38,-7.31,12.05
731.0,34.38,-7.31,11.69
731.5,34.38,-7.31,12.44
732.0,34.38,-7.31,12.12
732.5,34.38,-7.31,12.1
733.0,34.38,-7.31,12.36
733.5,34.38,-7.31,12.26
734.0,34.38,-7.31,12.0
734.5,34.38,-7.31,11.75
735.0,34.38,-7.31,11.86
735.5,34.38,-7.31,11.74
736.0,34.38,-7.31,12.2
736.5,34.38,-7.31,11.98
737.0,34.38,-7.31,12.04
737.5,34.38,-7.31,11.73
738.0,34.38,-7.31,11.91
738.5,34.38,-7.31,12.17
739.0,34.38,-7.31,12.24
739.5,34.38,-7.31,11.77
740.0,34.38,-7.31,11.95
740.5,34.38,-7.31,11.91
741.0,3438.0,-7.31,11.88
741.5,34.38,-7.31,12.27
742.0,34.38,-7.31,11.92
742.5,34.38,-7.31,11.74
743.0,34.38,-7.31,12.02
743.5,34.38,-7.31,11.75
744.0,34.38,-7.31,11.99
744.5,34.38,-7.31,12.38
745.0,34.38,-7.31,11.81
745.5,34.38,-7.31,11.91
746.0,34.38,-7.31,1224.0
746.5,34.38,-7.31,11.73
747.0,34.38,-7.31,11.99
747.5,34.38,-7.31,11.77
748.0,34.38,-7.31,12.32
748.5,34.38,-7.31,11.82
749.0,34.38,-7.31,11.86
749.5,34.38,-7.31,12.12
750.0,34.38,-7.31,12.08
750.5,34.38,-7.31,11.83
751.0,34.38,-7.31,12.23
751.5,34.38,-7.31,11.89
752.0,34.38,-7.31,11.82
752.5,34.38,-7.3,11.75
753.0,34.38,-7.31,0.64
753.5,34.38,-7.31,12.29
754.0,34.38,-7.31,11.96
754.5,34.38,-7.31,11.84
755.0,34.38,-7.31,12.12
755.5,34.38,-7.31,12.27
756.0,34.31,-7.31,11.94
756.5,34.31,-7.31,11.93
757.0,34.31,-7.31,11.88
757.5,34.31,-7.31,11.8
758.0,34.31,-7.31,12.08
758.5,34.31,-7.31,11.82
759.0,34.31,-7.31,11.96
759.5,34.31,-7.31,11.66
760.0,34.31,-7.31,12.38
760.5,34.31,-7.31,11.62
761.0,34.31,-7.31,11.83
761.5,34.31,-7.31,12.2
762.0,34.31,-7.31,12.19
762.5,34.31,-7.31,11.87
763.0,34.31,-7.31,11.82
763.5,34.31,-7.31,12.29
764.0,34.31,-7.31,11.93
764.5,34.31,-7.31,11.95
765.0,34.31,-7.31,11.85
765.5,34.31,-7.31,11.82
766.0,34.31,-7.31,12.11
766.5,34.31,-7.31,12.6
767.0,34.31,-7.31,12.21
767.5,34.31,-7.31,11.9
768.0,34.31,-7.31,11.7
768.5,34.31,-7.31,12.04
769.0,34.31,-7.31,11.88
769.5,34.31,-7.37,11.92
770.0,34.31,-7.37,11.9
770.5,34.31,-7.31,11.92
771.0,34.31,-7.31,11.66
771.5,34.31,-7.31,11.76
772.0,34.31,-7.31,12.03
772.5,3431.0,-7.31,11.75
773.0,34.31,-7.31,12.31
773.5,34.31,-7.31,11.81
774.0,34.31,-7.31,12.0
774.5,34.31,-7.31,11.9
775.0,34.31,-7.31,11.74
775.5,34.31,-7.31,12.03
776.0,34.31,-7.31,12.06
776.5,34.31,-7.31,11.89
777.0,34.31,-7.31,11.82
777.5,34.31,-7.31,1216.0
778.0,34.31,-7.31,11.81
778.5,34.38,-7.31,12.03
779.0,34.38,-7.31,11.63
779.5,34.38,-7.31,12.15
780.0,34.38,-7.31,11.91
780.5,34.38,-7.31,11.92
781.0,34.38,-7.31,11.83
781.5,34.38,-7.31,12.28
782.0,34.38,-7.31,11.73
782.5,34.38,-7.31,11.85
783.0,34.38,-7.31,11.91
783.5,34.38,-7.31,11.75
784.0,34.38,-7.31,11.94
784.5,34.38,-7.31,12.04
785.0,34.38,-7.31,11.79
785.5,34.38,-7.31,12.21
786.0,34.38,-7.31,11.85
786.5,34.38,-7.31,12.32
787.0,34.38,-7.31,12.27
787.5,34.38,-7.31,11.74
788.0,34.38,-7.31,12.17
788.5,34.38,-7.31,11.79
789.0,34.38,-7.31,11.59
789.5,34.38,-7.31,12.62
790.0,34.38,-7.31,12.37
790.5,34.38,-7.31,11.75
791.0,34.8,-7.31,12.15
791.5,34.38,-7.31,11.95
792.0,34.38,-7.31,12.12
792.5,34.38,-7.31,12.01
793.0,34.38,-7.31,11.98
793.5,34.38,-7.31,11.91
794.0,34.38,-7.31,12.66
794.5,34.38,-7.31,11.9
795.0,34.38,-7.31,12.36
795.5,34.38,-7.31,11.91
796.0,34.38,-7.31,12.2
796.5,34.38,-7.31,12.19
797.0,34.38,-7.31,12.09
797.5,34.38,-7.31,11.81
798.0,34.38,-7.31,12.07
798.5,34.38,-7.31,12.29
799.0,34.38,-7.31,11.88
799.5,34.38,-7.31,11.9
800.0,34.38,-7.31,12.17
800.5,34.38,-7.31,12.24
801.0,34.38,-7.31,11.9
801.5,34.38,-7.31,11.99
802.0,34.38,-7.31,11.97
802.5,34.38,-7.31,11.88
803.0,34.38,-7.31,12.21
803.5,34.38,-7.31,14.0
804.0,34.38,-7.31,11.88
804.5,34.38,-7.31,12.13
805.0,34.38,-7.31,11.74
805.5,34.38,-7.31,11.73
806.0,34.38,-7.31,12.09
806.5,34.38,-7.31,11.8
807.0,34.38,-7.31,11.76
807.5,34.38,-7.31,11.83
808.0,34.38,-7.31,12.31
808.5,34.38,-7.31,11.71
809.0,34.38,-7.31,12.67
809.5,34.38,-7.31,12.37
810.0,34.38,-7.31,11.8
810.5,34.38,-7.37,12.09
811.0,34.38,-0.37,11.9
811.5,34.38,-7.37,12.16
812.0,34.38,-7.37,12.1
812.5,34.38,-7.37,11.88
813.0,34.38,-7.37,12.35
813.5,34.38,-7.37,12.17
814.0,34.38,-7.37,11.86
814.5,34.38,-7.37,11.86
815.0,34.38,-7.31,11.7
815.5,34.38,-7.31,12.27
816.0,34.38,-7.31,11.77
816.5,34.38,-7.31,11.84
817.0,34.38,-7.31,12.1
817.5,34.38,-0.31,12.21
818.0,34.38,-7.31,12.26
818.5,34.38,-7.31,11.69
819.0,34.38,-7.31,11.83
819.5,34.38,-7.31,12.24
820.0,34.38,-7.31,11.86
820.5,34.38,-7.31,12.2
821.0,34.38,-7.31,11.92
821.5,34.38,-7.31,12.05
822.0,34.38,-7.31,12.14
822.5,34.38,-7.31,11.84
823.0,34.38,-7.31,11.82
823.5,34.38,-7.31,12.57
824.0,34.38,-7.31,12.24
824.5,34.38,-7.31,12.3
825.0,34.38,-7.31,11.71
825.5,34.38,-7.31,12.12
826.0,34.38,-7.31,11.78
826.5,34.38,-7.31,12.25
827.0,34.38,-7.31,12.05
827.5,34.38,-7.31,11.77
828.0,34.38,-7.31,12.03
828.5,34.38,-7.31,11.99
829.0,34.38,-7.31,11.74
829.5,34.38,-7.31,11.82
830.0,34.38,-7.31,11.95
830.5,34.38,-7.31,11.74
831.0,34.38,-7.31,11.99
831.5,34.38,-7.31,11.92
832.0,34.38,-7.31,12.22
832.5,34.38,-7.31,11.87
833.0,34.38,-7.31,12.17
833.5,34.38,-7.31,12.27
834.0,34.38,-7.31,12.26
834.5,34.38,-7.31,12.38
835.0,34.38,-7.31,11.74
835.5,34.38,-7.31,12.25
836.0,34.38,-7.31,11.6
836.5,34.38,-7.31,12.38
837.0,34.38,-7.31,12.31
837.5,34.38,-7.31,11.94
838.0,34.38,-7.31,12.65
838.5,34.38,-7.31,11.77
839.0,34.38,-7.31,11.93
839.5,34.38,-7.31,11.97
840.0,34.38,-7.31,11.8
840.5,34.38,-7.31,12.33
841.0,34.38,-7.31,11.85
841.5,34.38,-7.31,11.79
842.0,34.38,-7.31,12.03
842.5,34.38,-7.31,12.02
843.0,34.38,-7.37,12.09
843.5,34.38,-7.37,12.08
844.0,34.38,-7.37,11.81
844.5,34.38,-7.37,12.22
845.0,34.38,-7.37,11.68
845.5,34.38,-7.37,12.13
846.0,34.38,-7.37,12.27
846.5,34.38,-7.37,12.27
847.0,34.38,-7.37,11.64
847.5,34.38,-7.37,11.75
848.0,34.38,-7.37,1197.0
848.5,34.38,-7.37,11.79
849.0,34.38,-737.0,12.22
849.5,34.38,-7.37,11.79
850.0,34.38,7.37,11.86
850.5,34.38,-7.37,11.86
851.0,34.38,-7.37,12.17
851.5,34.38,-7.37,12.12
852.0,34.38,-7.37,11.78
852.5,34.38,-7.37,11.77
853.0,34.38,-7.37,12.26
853.5,34.38,-7.37,11.74
854.0,34.38,-7.37,11.81
854.5,34.38,-7.37,11.97
855.0,34.38,-7.37,12.13
855.5,34.38,-7.37,11.97
856.0,34.38,-7.37,11.64
856.5,34.38,-7.37,11.7
857.0,34.38,-7.37,12.63
857.5,34.38,-7.37,11.8
858.0,34.38,-7.37,11.99
858.5,34.38,-7.37,12.0
859.0,34.38,-7.37,12.1
859.5,34.38,-7.37,11.9
860.0,34.38,-7.37,11.93
860.5,34.38,-7.37,12.45
861.0,34.38,-7.37,11.81
861.5,34.38,-7.37,11.97
862.0,34.38,-7.37,12.0
862.5,34.38,-7.37,12.03
863.0,34.38,-7.37,11.86
863.5,34.38,-7.37,12.2
864.0,34.38,-7.37,12.0
864.5,34.38,-7.37,11.85
865.0,34.38,-7.37,11.86
865.5,34.38,-7.37,11.94
866.0,34.38,-7.37,11.98
866.5,34.38,-7.37,11.99
867.0,34.38,-7.37,11.92
867.5,34.38,-7.37,11.78
868.0,34.38,-7.37,1182.0
868.5,34.38,-7.37,11.82
869.0,34.38,-7.37,12.2
869.5,34.38,-7.37,11.69
870.0,34.38,-7.37,12.17
870.5,34.38,-7.37,12.15
871.0,34.38,-7.37,11.83
871.5,34.38,-7.37,11.99
872.0,34.38,-7.37,11.99
872.5,34.38,-7.37,11.85
